时间,电压(V),电流(A),D+(V),D-(V),时间文本,总功耗(W)
1900-01-01 16:25:08,5.11,1.73,0.26,0.26,16:25:08,8.840300000000001
1900-01-01 16:25:09,5.11,1.76,0.25,0.26,16:25:09,8.9936
1900-01-01 16:25:10,5.11,1.76,0.26,0.26,16:25:10,8.9936
1900-01-01 16:25:11,5.13,1.76,0.25,0.26,16:25:11,9.0288
1900-01-01 16:25:12,5.11,1.61,0.26,0.26,16:25:12,8.227100000000002
1900-01-01 16:25:13,5.12,1.76,0.26,0.25,16:25:13,9.0112
1900-01-01 16:25:14,5.13,1.7,0.26,0.26,16:25:14,8.721
1900-01-01 16:25:15,5.13,0.83,0.18,0.15,16:25:15,4.257899999999999
1900-01-01 16:25:16,5.12,0.0,0.08,0.09,16:25:16,0.0
1900-01-01 16:25:17,5.12,0.85,0.16,0.16,16:25:17,4.352
1900-01-01 16:25:18,5.11,0.55,0.15,0.15,16:25:18,2.8105
1900-01-01 16:25:19,5.12,1.72,0.25,0.26,16:25:19,8.8064
1900-01-01 16:25:20,5.12,1.71,0.25,0.26,16:25:20,8.7552
1900-01-01 16:25:21,5.11,1.72,0.25,0.26,16:25:21,8.789200000000001
1900-01-01 16:25:22,5.12,1.72,0.25,0.25,16:25:22,8.8064
1900-01-01 16:25:23,5.12,1.71,0.25,0.25,16:25:23,8.7552
1900-01-01 16:25:24,5.13,1.72,0.25,0.25,16:25:24,8.823599999999999
1900-01-01 16:25:25,5.11,1.72,0.25,0.25,16:25:25,8.789200000000001
1900-01-01 16:25:26,5.12,1.71,0.25,0.25,16:25:26,8.7552
1900-01-01 16:25:27,5.11,1.72,0.25,0.26,16:25:27,8.789200000000001
1900-01-01 16:25:28,5.13,1.72,0.25,0.26,16:25:28,8.823599999999999
1900-01-01 16:25:29,5.12,1.71,0.25,0.25,16:25:29,8.7552
1900-01-01 16:25:30,5.11,1.72,0.25,0.26,16:25:30,8.789200000000001
1900-01-01 16:25:31,5.11,1.72,0.25,0.25,16:25:31,8.789200000000001
1900-01-01 16:25:32,5.12,1.72,0.25,0.26,16:25:32,8.8064
1900-01-01 16:25:33,5.11,1.71,0.25,0.25,16:25:33,8.738100000000001
1900-01-01 16:25:34,5.12,1.72,0.25,0.25,16:25:34,8.8064
1900-01-01 16:25:35,5.12,1.72,0.25,0.25,16:25:35,8.8064
1900-01-01 16:25:36,5.12,1.72,0.25,0.25,16:25:36,8.8064
1900-01-01 16:25:37,5.11,1.72,0.86,0.86,16:25:37,8.789200000000001
1900-01-01 16:25:38,5.13,1.71,0.91,0.91,16:25:38,8.7723
1900-01-01 16:25:39,4.95,1.71,3.33,0.91,16:25:39,8.4645
1900-01-01 16:25:40,4.95,1.71,3.33,0.91,16:25:40,8.4645
1900-01-01 16:25:41,4.95,1.71,3.33,0.92,16:25:41,8.4645
1900-01-01 16:25:42,4.96,1.71,3.33,0.91,16:25:42,8.4816
1900-01-01 16:25:43,4.95,1.71,0.16,0.91,16:25:43,8.4645
1900-01-01 16:25:44,8.93,1.15,0.82,3.46,16:25:44,10.269499999999999
1900-01-01 16:25:45,8.95,1.91,0.89,3.53,16:25:45,17.094499999999996
1900-01-01 16:25:46,8.94,1.91,0.9,3.53,16:25:46,17.0754
1900-01-01 16:25:47,8.95,1.91,0.89,3.54,16:25:47,17.094499999999996
1900-01-01 16:25:48,8.93,1.91,0.89,3.53,16:25:48,17.0563
1900-01-01 16:25:49,8.94,1.91,0.88,3.53,16:25:49,17.0754
1900-01-01 16:25:50,8.93,1.91,0.89,3.53,16:25:50,17.0563
